,UU2010,LIBUU2010,DEP,ACT_IN,ACT_OUT,ACT_TOTAL,POP2010,LIBBIS
907,34213,Clermont-l'Hérault,34,1617,1718,3335,9546,Clermont-l'Hérault
908,34214,Lodève,34,1896,1269,3165,9783,Lodève
909,34215,Pézenas,34,1772,1467,3240,9680,Pézenas
910,34301,Mèze,34,1673,1899,3572,10523,Mèze
911,34302,Bédarieux,34,2058,2328,4385,13468,Bédarieux
912,34303,Sérignan,34,1728,3413,5140,15430,Sérignan
913,34304,Mauguio,34,2327,4480,6806,16307,Mauguio
914,34401,Agde,34,5054,2269,7322,24567,Agde
915,34501,Béziers,34,17918,9010,26928,84716,Béziers
916,34502,Sète,34,14445,16859,31305,88116,Sète
917,34701,Montpellier,34,86279,64191,150469,390962,Montpellier
918,35101,La Fresnais,35,201,807,1007,2199,La Fresnais
919,35102,Hirel,35,198,773,972,2450,Hirel
920,35103,Crevin,35,275,1085,1360,2594,Crevin
921,35104,Saint-Erblon,35,144,1024,1168,2482,Saint-Erblon
922,35105,Saint-Jouan-des-Guérets,35,314,904,1218,2672,Saint-Jouan-des-Guérets
923,35106,Saint-Brice-en-Coglès,35,577,576,1153,2752,Saint-Brice-en-Coglès
924,35107,Corps-Nuds,35,239,1174,1414,2941,Corps-Nuds
925,35108,Saint-Aubin-d'Aubigné,35,360,1182,1541,3310,Saint-Aubin-d'Aubigné
926,35109,Bourgbarré,35,308,1362,1670,3458,Bourgbarré
927,35110,Tinténiac,35,478,966,1444,3373,Tinténiac
928,35111,Romagné,35,366,1283,1650,3596,Romagné
929,35112,Romillé,35,368,1324,1692,3632,Romillé
930,35113,Breteil,35,246,1378,1624,3377,Breteil
931,35114,Servon-sur-Vilaine,35,286,1492,1778,3542,Servon-sur-Vilaine
932,35115,Saint-Méloir-des-Ondes,35,352,1336,1688,3732,Saint-Méloir-des-Ondes
933,35116,Plélan-le-Grand,35,396,976,1372,3566,Plélan-le-Grand
934,35117,Saint-Gilles,35,299,1454,1752,3783,Saint-Gilles
935,35118,La Chapelle-des-Fougeretz,35,296,1592,1888,3944,La Chapelle-des-Fougeretz
936,35119,Gévezé,35,321,1696,2016,3984,Gévezé
937,35120,Orgères,35,288,1481,1769,3905,Orgères
938,35121,Saint-Aubin-du-Cormier,35,726,978,1704,3578,Saint-Aubin-du-Cormier
939,35122,Chavagne,35,251,1399,1650,3725,Chavagne
940,35123,Goven,35,340,1708,2048,4132,Goven
941,35124,Louvigné-du-Désert,35,703,740,1443,3758,Louvigné-du-Désert
942,35125,La Bouëxière,35,346,1416,1762,3834,La Bouëxière
943,35126,Argentré-du-Plessis,35,875,991,1865,4212,Argentré-du-Plessis
944,35127,La Mézière,35,414,1852,2266,4320,La Mézière
945,35128,Laillé,35,288,1788,2076,4348,Laillé
946,35129,Montauban-de-Bretagne,35,749,1266,2015,4739,Montauban-de-Bretagne
947,35130,Bréal-sous-Montfort,35,550,1958,2508,5055,Bréal-sous-Montfort
948,35131,Dol-de-Bretagne,35,1044,1008,2052,5335,Dol-de-Bretagne
