,Unnamed: 0,Source,Target,O_AU2010,D_AU2010,O_DEP,D_DEP,O_LIBBIS,D_LIBBIS,O_DEP_NAME,D_DEP_NAME,Weight,O_ACT_OUT,O_ACT_TOTAL,D_ACT_OUT,D_ACT_TOTAL,Dist,Duration,D_ACT_IN
3222,3222,552,13501,141,143,30,13,Arles,Salon-de-Provence,GARD,BOUCHES-DU-RHONE,151,1084,1340,12526.0,23287.0,43550,2152,10761.0
3223,3223,754,456,16,200,30,13,Avignon,Beaucaire,GARD,BOUCHES-DU-RHONE,104,6341,8488,2308.0,4448.0,25093,1579,2140.0
3224,3224,754,759,16,3,30,13,Avignon,Marseille - Aix-en-Provence,GARD,BOUCHES-DU-RHONE,154,6341,8488,268025.0,591048.0,90929,3562,323023.0
3225,3225,754,13302,16,319,30,13,Avignon,Saint-Rémy-de-Provence,GARD,BOUCHES-DU-RHONE,695,6341,8488,2629.0,5373.0,24811,1729,2744.0
3226,3226,754,13501,16,143,30,13,Avignon,Salon-de-Provence,GARD,BOUCHES-DU-RHONE,103,6341,8488,12526.0,23287.0,54207,2531,10761.0
3227,3227,30109,456,997,200,30,13,Jonquières-Saint-Vincent,Beaucaire,GARD,BOUCHES-DU-RHONE,254,900,1271,2308.0,4448.0,8144,783,2140.0
3228,3228,30205,456,997,200,30,13,Bellegarde,Beaucaire,GARD,BOUCHES-DU-RHONE,171,1737,2586,2308.0,4448.0,13209,925,2140.0
3229,3229,30205,552,997,141,30,13,Bellegarde,Arles,GARD,BOUCHES-DU-RHONE,341,1737,2586,5503.0,18994.0,15458,1091,13491.0
3230,3230,30206,456,997,200,30,13,Montfrin,Beaucaire,GARD,BOUCHES-DU-RHONE,228,2141,2754,2308.0,4448.0,13190,1013,2140.0
3231,3231,30303,552,997,141,30,13,Saint-Gilles,Arles,GARD,BOUCHES-DU-RHONE,337,2502,4656,5503.0,18994.0,18248,1164,13491.0
3232,3232,30601,456,40,200,30,13,Nîmes,Beaucaire,GARD,BOUCHES-DU-RHONE,361,19476,61633,2308.0,4448.0,24870,2098,2140.0
3233,3233,30601,552,40,141,30,13,Nîmes,Arles,GARD,BOUCHES-DU-RHONE,324,19476,61633,5503.0,18994.0,33572,2064,13491.0
3235,3235,757,759,13,3,13,13,Toulon,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,4454,7154,14063,268025.0,591048.0,24816,1592,323023.0
3236,3236,757,13202,13,3,13,13,Toulon,Roquefort-la-Bédoule,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,108,7154,14063,1606.0,2030.0,21847,1077,424.0
3237,3237,757,13211,13,3,13,13,Toulon,Cassis,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,193,7154,14063,1673.0,3129.0,28635,1640,1456.0
3238,3238,759,757,3,13,13,13,Marseille - Aix-en-Provence,Toulon,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,1187,268025,591048,7154.0,14063.0,28013,1640,6909.0
3240,3240,759,13203,3,3,13,13,Marseille - Aix-en-Provence,Puy-Sainte-Réparade,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,106,268025,591048,1433.0,2212.0,29075,1431,779.0
